,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-RandomForest-sample-01,0.0,,"np.array([3704.0,3698.0], dtype=np.float64)",,"np.array([[3602.0,101.0],[114.0,3583.0]], dtype=np.float64)",,7185.0,,0.029054054054054056,,215.0,,0.9418916881520111,,5336.598761417863,,0.7211619947861977,,72.11623367787203,,0.16328229729729657,,0.4999996713817302,,7400.0,,97.0945945945946,,2.9054054054054053,,0.0,,32.65648092249183,,0.49999983564644546,,0.21301630726815693,,42.60327545763089,,5318.625245672833,,0.7187331413071396,,0.9999995257759519,,0.2812663844688122,,7399.9964907420435,,89.22972972972973,,0.0,,0.0,,0.9965131740542769,,0.9964535769234618,,0.9709458148941077,,0.029054054054054056,,0.02905694105178641,,0.9418975019681305,,0.9709516770068596,,0.970945945945946,,0.9709430589482136,,0.970945945945946,,0.970945754408644,,0.970945945945946,,0.9964535769234618
someClassifier-RandomForest,0.0,0.0,,,,,7185.0,0.0,0.029054054054054056,0.0,215.0,0.0,0.9418916881520111,0.0,5336.598761417863,0.0,0.7211619947861977,0.0,72.11623367787203,0.0,0.16328229729729657,0.0,0.4999996713817302,0.0,7400.0,0.0,97.0945945945946,0.0,2.9054054054054053,0.0,0.0,0.0,32.65648092249183,0.0,0.49999983564644546,0.0,0.21301630726815693,0.0,42.60327545763089,0.0,5318.625245672833,0.0,0.7187331413071396,0.0,0.9999995257759519,0.0,0.2812663844688122,0.0,7399.9964907420435,0.0,89.22972972972973,0.0,0.0,0.0,0.0,0.0,0.9965131740542769,0.0,0.9964535769234618,0.0,0.9709458148941077,0.0,0.029054054054054056,0.0,0.02905694105178641,0.0,0.9418975019681305,0.0,0.9709516770068596,0.0,0.970945945945946,0.0,0.9709430589482136,0.0,0.970945945945946,0.0,0.970945754408644,0.0,0.970945945945946,0.0,0.9964535769234618,0.0
