,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-Individual-sample-01,0.0,,"np.array([541.0,612.0], dtype=np.float64)",,"np.array([[353.0,187.0],[210.0,401.0]], dtype=np.float64)",,754.0,,0.34491746307558646,,397.0,,0.30923957654649264,,208.08491011698024,,0.18078619471501323,,18.128409771928656,,0.4187646883175661,,0.4981007502808751,,1151.0,,65.50825369244136,,34.49174630755864,,0.0,,84.07228619539882,,0.4990478212717195,,0.4576608765388538,,91.70681787019936,,143.13836669784462,,0.12436000581915257,,0.997253465634673,,0.8728934598155204,,1147.8387389455086,,100.0,,0.0,,0.0,,0.7144814141447001,,0.7273564890586168,,0.6553704686771777,,0.34491746307558646,,0.34507768755786206,,0.3094874994533319,,0.6561810729819595,,0.6550825369244135,,0.6549223124421379,,0.6550825369244135,,0.6544816358751664,,0.6550825369244135,,0.7273564890586167
someClassifier-PART-sample-01,0.0,,"np.array([541.0,612.0], dtype=np.float64)",,"np.array([[383.0,157.0],[267.0,344.0]], dtype=np.float64)",,727.0,,0.368375325803649,,424.0,,0.2690859530620498,,216.85912749190598,,0.18840932014935358,,18.89282179926504,,0.40860024023811026,,0.4981007502808751,,1151.0,,63.1624674196351,,36.8375325803649,,0.0,,82.03164520585521,,0.4990478212717195,,0.5120523293883226,,102.60586412008848,,-82491.03499189253,,-71.66901389391185,,0.997253465634673,,72.66626735954651,,1147.8387389455086,,87.31537793223283,,0.0,,0.0,,0.6300166457419782,,0.6595987149178638,,0.6304304219234399,,0.368375325803649,,0.35935395830861383,,0.2740582479928881,,0.6409327172027661,,0.631624674196351,,0.6406460416913861,,0.631624674196351,,0.6312012574814099,,0.631624674196351,,0.6595987149178638
someClassifier-JRip-sample-01,0.0,,"np.array([541.0,612.0], dtype=np.float64)",,"np.array([[248.0,292.0],[147.0,464.0]], dtype=np.float64)",,712.0,,0.3814074717636838,,439.0,,0.22213567123625083,,126.05363374647727,,0.10951662358512361,,10.981824316391315,,0.45153545489048685,,0.4981007502808751,,1151.0,,61.85925282363162,,38.14074717636838,,0.0,,90.6514303854932,,0.4990478212717195,,0.4920841284720815,,98.60460410749967,,-22452.353379760196,,-19.506823092754296,,0.997253465634673,,20.50407655838897,,1147.8387389455086,,97.13292788879235,,0.0,,0.0,,0.6040114038291461,,0.6328029338667638,,0.6092464196057317,,0.3814074717636838,,0.39992246701306355,,0.22985151255926667,,0.6203677373491184,,0.6185925282363163,,0.6000775329869364,,0.6185925282363163,,0.6046700491728247,,0.6185925282363163,,0.6328029338667637
someClassifier-SimpleCart-sample-01,0.0,,"np.array([541.0,612.0], dtype=np.float64)",,"np.array([[368.0,172.0],[222.0,389.0]], dtype=np.float64)",,757.0,,0.3423110338835795,,394.0,,0.3164403177426404,,232.03447327347456,,0.20159380823064688,,20.214901745400137,,0.40580403322619024,,0.4981007502808751,,1151.0,,65.76889661164205,,34.23110338835795,,0.0,,81.47027142548181,,0.4990478212717195,,0.4822793748251246,,96.63991190185662,,-21363.441884570657,,-18.560766189896313,,0.997253465634673,,19.558019655530988,,1147.8387389455086,,94.65682015638575,,0.0,,0.0,,0.6662516712101866,,0.691725768321513,,0.6579603625536262,,0.3423110338835795,,0.3395462735056428,,0.3176376695361177,,0.6607157176812243,,0.6576889661164205,,0.6604537264943572,,0.6576889661164205,,0.6575749796127941,,0.6576889661164205,,0.691725768321513
someClassifier-JRip,0.0,0.0,,,,,712.0,0.0,0.3814074717636838,0.0,439.0,0.0,0.22213567123625083,0.0,126.05363374647727,0.0,0.10951662358512361,0.0,10.981824316391315,0.0,0.45153545489048685,0.0,0.4981007502808751,0.0,1151.0,0.0,61.85925282363162,0.0,38.14074717636838,0.0,0.0,0.0,90.6514303854932,0.0,0.4990478212717195,0.0,0.4920841284720815,0.0,98.60460410749967,0.0,-22452.353379760196,0.0,-19.506823092754296,0.0,0.997253465634673,0.0,20.50407655838897,0.0,1147.8387389455086,0.0,97.13292788879235,0.0,0.0,0.0,0.0,0.0,0.6040114038291461,0.0,0.6328029338667638,0.0,0.6092464196057317,0.0,0.3814074717636838,0.0,0.39992246701306355,0.0,0.22985151255926667,0.0,0.6203677373491184,0.0,0.6185925282363163,0.0,0.6000775329869364,0.0,0.6185925282363163,0.0,0.6046700491728247,0.0,0.6185925282363163,0.0,0.6328029338667637,0.0
someClassifier-SimpleCart,0.0,0.0,,,,,757.0,0.0,0.3423110338835795,0.0,394.0,0.0,0.3164403177426404,0.0,232.03447327347456,0.0,0.20159380823064688,0.0,20.214901745400137,0.0,0.40580403322619024,0.0,0.4981007502808751,0.0,1151.0,0.0,65.76889661164205,0.0,34.23110338835795,0.0,0.0,0.0,81.47027142548181,0.0,0.4990478212717195,0.0,0.4822793748251246,0.0,96.63991190185662,0.0,-21363.441884570657,0.0,-18.560766189896313,0.0,0.997253465634673,0.0,19.558019655530988,0.0,1147.8387389455086,0.0,94.65682015638575,0.0,0.0,0.0,0.0,0.0,0.6662516712101866,0.0,0.691725768321513,0.0,0.6579603625536262,0.0,0.3423110338835795,0.0,0.3395462735056428,0.0,0.3176376695361177,0.0,0.6607157176812243,0.0,0.6576889661164205,0.0,0.6604537264943572,0.0,0.6576889661164205,0.0,0.6575749796127941,0.0,0.6576889661164205,0.0,0.691725768321513,0.0
someClassifier-Individual,0.0,0.0,,,,,754.0,0.0,0.34491746307558646,0.0,397.0,0.0,0.30923957654649264,0.0,208.08491011698024,0.0,0.18078619471501323,0.0,18.128409771928656,0.0,0.4187646883175661,0.0,0.4981007502808751,0.0,1151.0,0.0,65.50825369244136,0.0,34.49174630755864,0.0,0.0,0.0,84.07228619539882,0.0,0.4990478212717195,0.0,0.4576608765388538,0.0,91.70681787019936,0.0,143.13836669784462,0.0,0.12436000581915257,0.0,0.997253465634673,0.0,0.8728934598155204,0.0,1147.8387389455086,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.7144814141447001,0.0,0.7273564890586168,0.0,0.6553704686771777,0.0,0.34491746307558646,0.0,0.34507768755786206,0.0,0.3094874994533319,0.0,0.6561810729819595,0.0,0.6550825369244135,0.0,0.6549223124421379,0.0,0.6550825369244135,0.0,0.6544816358751664,0.0,0.6550825369244135,0.0,0.7273564890586167,0.0
someClassifier-PART,0.0,0.0,,,,,727.0,0.0,0.368375325803649,0.0,424.0,0.0,0.2690859530620498,0.0,216.85912749190598,0.0,0.18840932014935358,0.0,18.89282179926504,0.0,0.40860024023811026,0.0,0.4981007502808751,0.0,1151.0,0.0,63.1624674196351,0.0,36.8375325803649,0.0,0.0,0.0,82.03164520585521,0.0,0.4990478212717195,0.0,0.5120523293883226,0.0,102.60586412008848,0.0,-82491.03499189253,0.0,-71.66901389391185,0.0,0.997253465634673,0.0,72.66626735954651,0.0,1147.8387389455086,0.0,87.31537793223283,0.0,0.0,0.0,0.0,0.0,0.6300166457419782,0.0,0.6595987149178638,0.0,0.6304304219234399,0.0,0.368375325803649,0.0,0.35935395830861383,0.0,0.2740582479928881,0.0,0.6409327172027661,0.0,0.631624674196351,0.0,0.6406460416913861,0.0,0.631624674196351,0.0,0.6312012574814099,0.0,0.631624674196351,0.0,0.6595987149178638,0.0
