gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.95733770,0.99618319,0.99774222,0.99839192,0.99882909,1475,0034,0035,0.00000000,"PART,JRip,SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_minNumObj,J48,J48_useLaplace,SimpleCart_numFoldsPruning,DecisionTable,PART_minNumObj,PART_useMDLcorrection,JRip_checkErrorRate,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_search,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,J48_binarySplits,BestFirst_direction,DecisionTable_crossVal,J48_useMDLcorrection,SimpleCart_heuristic,JRip_minNo,PART_pruning,J48_collapseTree,J48_minNumObj,JRip_folds,J48_numFolds,SimpleCart_useOneSE,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_subtreeRaising,J48_confidenceFactorValue,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,PART_numFolds,GreedyStepwise_searchBackwards,PART_confidenceFactorValue"
1,90,0.93987653,0.99606683,0.99774222,0.99839192,0.99882909,1250,0034,0035,0.00000000,"JRip,JRip_usePruning,JRip_checkErrorRate,PART,J48,PART_pruning,PART_useMDLcorrection,JRip_folds,DecisionTable,SimpleCart,JRip_minNo,Aggregator,PART_doNotMakeSplitPointActualValue,PART_minNumObj,J48_useLaplace,J48_pruning,DecisionTable_evaluationMeasure,DecisionTable_useIBk,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_optimizations,J48_collapseTree,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_minNumObj,J48_useMDLcorrection,J48_binarySplits,DecisionTable_search,J48_numFolds,DecisionTable_crossVal,PART_confidenceFactorValue,PART_numFolds,SimpleCart_heuristic,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
