,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-Individual-sample-01,0.0,,"np.array([1144.0,1144.0,1145.0,1056.0,1145.0,1056.0,1057.0,1143.0,1056.0,1056.0], dtype=np.float64)",,"np.array([[1125.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0],[0.0,1070.0,45.0,14.0,1.0,1.0,0.0,6.0,1.0,5.0],[0.0,22.0,1114.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0],[0.0,3.0,3.0,1039.0,1.0,2.0,0.0,3.0,0.0,4.0],[1.0,1.0,4.0,0.0,1128.0,0.0,1.0,1.0,0.0,8.0],[1.0,2.0,0.0,10.0,0.0,1024.0,0.0,2.0,6.0,10.0],[1.0,0.0,2.0,1.0,2.0,2.0,1047.0,1.0,0.0,0.0],[0.0,15.0,5.0,1.0,0.0,1.0,2.0,1114.0,3.0,1.0],[9.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,1033.0,2.0],[0.0,2.0,0.0,3.0,3.0,3.0,0.0,3.0,4.0,1037.0]], dtype=np.float64)",,10731.0,,0.023744541484716157,,261.0,,0.9736126222029913,,33465.8321852145,,3.044562607825191,,91.68238127579055,,0.03074214595364679,,0.17996797657803656,,10992.0,,97.62554585152839,,2.3744541484716155,,0.0,,17.082008998593466,,0.2999732883700699,,0.07896779372101745,,26.32494184735434,,33367.62418957316,,3.0356281104051273,,3.3207717398469576,,0.28514362944183036,,36501.92296439776,,39.12390829694167,,0.0,,0.0,,0.9942355309275778,,0.9988017241675944,,0.9762539482618364,,0.023744541484716157,,0.0026634714770984815,,0.9736160021122011,,0.9763444115115932,,0.9762554585152838,,0.9973365285229017,,0.9762554585152838,,0.9764417410360119,,0.9762554585152838,,0.9987988918158971
someClassifier-Individual,0.0,0.0,,,,,10731.0,0.0,0.023744541484716157,0.0,261.0,0.0,0.9736126222029913,0.0,33465.8321852145,0.0,3.044562607825191,0.0,91.68238127579055,0.0,0.03074214595364679,0.0,0.17996797657803656,0.0,10992.0,0.0,97.62554585152839,0.0,2.3744541484716155,0.0,0.0,0.0,17.082008998593466,0.0,0.2999732883700699,0.0,0.07896779372101745,0.0,26.32494184735434,0.0,33367.62418957316,0.0,3.0356281104051273,0.0,3.3207717398469576,0.0,0.28514362944183036,0.0,36501.92296439776,0.0,39.12390829694167,0.0,0.0,0.0,0.0,0.0,0.9942355309275778,0.0,0.9988017241675944,0.0,0.9762539482618364,0.0,0.023744541484716157,0.0,0.0026634714770984815,0.0,0.9736160021122011,0.0,0.9763444115115932,0.0,0.9762554585152838,0.0,0.9973365285229017,0.0,0.9762554585152838,0.0,0.9764417410360119,0.0,0.9762554585152838,0.0,0.9987988918158971,0.0
