,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-Individual-sample-01,0.0,,"np.array([3665.0,3737.0], dtype=np.float64)",,"np.array([[3458.0,206.0],[192.0,3544.0]], dtype=np.float64)",,7002.0,,0.05378378378378378,,398.0,,0.892418287283938,,5421.563081529026,,0.7326436596660846,,73.26936948351835,,0.15346340783427564,,0.49995267896916146,,7400.0,,94.62162162162163,,5.378378378378378,,0.0,,30.69558666046106,,0.49997633253141854,,0.2224599286485977,,44.494091854761606,,5277.595459561214,,0.7131885756163803,,0.99993171065965,,0.28674313504326976,,7399.49465888141,,88.85810810810811,,0.0,,0.0,,0.9841856590341246,,0.9853700540241063,,0.9462150335204002,,0.05378378378378378,,0.05383078659482912,,0.8924246774179392,,0.9462206254473652,,0.9462162162162162,,0.9461692134051708,,0.9462162162162162,,0.946208951084774,,0.9462162162162162,,0.9853700540241063
someClassifier-Individual,0.0,0.0,,,,,7002.0,0.0,0.05378378378378378,0.0,398.0,0.0,0.892418287283938,0.0,5421.563081529026,0.0,0.7326436596660846,0.0,73.26936948351835,0.0,0.15346340783427564,0.0,0.49995267896916146,0.0,7400.0,0.0,94.62162162162163,0.0,5.378378378378378,0.0,0.0,0.0,30.69558666046106,0.0,0.49997633253141854,0.0,0.2224599286485977,0.0,44.494091854761606,0.0,5277.595459561214,0.0,0.7131885756163803,0.0,0.99993171065965,0.0,0.28674313504326976,0.0,7399.49465888141,0.0,88.85810810810811,0.0,0.0,0.0,0.0,0.0,0.9841856590341246,0.0,0.9853700540241063,0.0,0.9462150335204002,0.0,0.05378378378378378,0.0,0.05383078659482912,0.0,0.8924246774179392,0.0,0.9462206254473652,0.0,0.9462162162162162,0.0,0.9461692134051708,0.0,0.9462162162162162,0.0,0.946208951084774,0.0,0.9462162162162162,0.0,0.9853700540241063,0.0
