classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
J48,hayes-roth,1,1,15,0.848148,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=9;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=false;","-R -Q 1 -O -M 6 -N 9 -S"
J48,hayes-roth,1,1,16,0.945767,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-U -M 4"
J48,hayes-roth,1,1,17,0.679864,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=true;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=9;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -J -B -M 8 -doNotMakeSplitPointActualValue -N 9 -A"
J48,hayes-roth,1,1,18,0.917827,0,"J48_pruning=unpruned;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=null;","-U -J -B -O -M 8 -doNotMakeSplitPointActualValue -A"
J48,hayes-roth,1,1,19,0.798911,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=0.25;J48_useLaplace=false;J48_subtreeRaising=false;","-C 0.25 -J -B -O -M 10 -S"
J48,hayes-roth,1,1,20,0.945767,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=0.35;J48_useLaplace=true;J48_subtreeRaising=true;","-C 0.35 -J -B -O -M 4 -A"
J48,hayes-roth,1,1,21,0.912403,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=true;J48_collapseTree=true;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=5;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -B -M 6 -N 5 -A"
J48,hayes-roth,1,1,22,0.951190,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=2;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=0.15;J48_useLaplace=false;J48_subtreeRaising=true;","-C 0.15 -J -M 2 -doNotMakeSplitPointActualValue"
J48,hayes-roth,1,1,23,0.903053,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=6;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -O -M 6 -doNotMakeSplitPointActualValue -N 6 -A"
J48,hayes-roth,1,1,24,0.923942,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=3;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=false;","-R -Q 1 -B -O -M 4 -N 3 -A -S"
