classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
RandomForest,tae,1,3,24,0.693333,0,"bagSizePercent=75;breakTiesRandomly=false;maxDepth=2;numFeatures=0.53 * predictiveAttributes;numIterations=1000;","-P 75 -depth 2 -K <numFeaturesMultiplier>0.53</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,3,25,0.653333,0,"bagSizePercent=42;breakTiesRandomly=false;maxDepth=2;numFeatures=0.62 * predictiveAttributes;numIterations=1000;","-P 42 -depth 2 -K <numFeaturesMultiplier>0.62</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,1,0.680000,0,"bagSizePercent=89;breakTiesRandomly=false;maxDepth=2;numFeatures=0.01 * predictiveAttributes;numIterations=1000;","-P 89 -depth 2 -K <numFeaturesMultiplier>0.1</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,2,0.826667,0,"bagSizePercent=27;breakTiesRandomly=false;maxDepth=10;numFeatures=0.75 * predictiveAttributes;numIterations=1000;","-P 27 -depth 10 -K <numFeaturesMultiplier>0.75</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,3,0.840000,0,"bagSizePercent=32;breakTiesRandomly=false;maxDepth=10;numFeatures=0.95 * predictiveAttributes;numIterations=1000;","-P 32 -depth 10 -K <numFeaturesMultiplier>0.95</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,4,0.833333,0,"bagSizePercent=44;breakTiesRandomly=false;maxDepth=8;numFeatures=0.01 * predictiveAttributes;numIterations=1000;","-P 44 -depth 8 -K <numFeaturesMultiplier>0.1</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,5,0.846667,0,"bagSizePercent=38;breakTiesRandomly=true;maxDepth=0;numFeatures=0.42 * predictiveAttributes;numIterations=1000;","-P 38 -B -K <numFeaturesMultiplier>0.42</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,6,0.646667,0,"bagSizePercent=64;breakTiesRandomly=true;maxDepth=1;numFeatures=0.95 * predictiveAttributes;numIterations=1000;","-P 64 -B -depth 1 -K <numFeaturesMultiplier>0.95</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,7,0.733333,0,"bagSizePercent=89;breakTiesRandomly=true;maxDepth=3;numFeatures=0.24 * predictiveAttributes;numIterations=1000;","-P 89 -B -depth 3 -K <numFeaturesMultiplier>0.24</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,8,0.846667,0,"bagSizePercent=75;breakTiesRandomly=true;maxDepth=6;numFeatures=0.03 * predictiveAttributes;numIterations=1000;","-P 75 -B -depth 6 -K <numFeaturesMultiplier>0.3</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,9,0.860000,0,"bagSizePercent=40;breakTiesRandomly=true;maxDepth=9;numFeatures=0.92 * predictiveAttributes;numIterations=1000;","-P 40 -B -depth 9 -K <numFeaturesMultiplier>0.92</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,10,0.773333,0,"bagSizePercent=64;breakTiesRandomly=false;maxDepth=3;numFeatures=0.07 * predictiveAttributes;numIterations=1000;","-P 64 -depth 3 -K <numFeaturesMultiplier>0.7</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,11,0.833333,0,"bagSizePercent=42;breakTiesRandomly=false;maxDepth=9;numFeatures=0.11 * predictiveAttributes;numIterations=1000;","-P 42 -depth 9 -K <numFeaturesMultiplier>0.11</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,12,0.840000,0,"bagSizePercent=31;breakTiesRandomly=true;maxDepth=7;numFeatures=0.65 * predictiveAttributes;numIterations=1000;","-P 31 -B -depth 7 -K <numFeaturesMultiplier>0.65</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,13,0.833333,0,"bagSizePercent=30;breakTiesRandomly=false;maxDepth=10;numFeatures=0.95 * predictiveAttributes;numIterations=1000;","-P 30 -depth 10 -K <numFeaturesMultiplier>0.95</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,14,0.793333,0,"bagSizePercent=33;breakTiesRandomly=false;maxDepth=5;numFeatures=0.12 * predictiveAttributes;numIterations=1000;","-P 33 -depth 5 -K <numFeaturesMultiplier>0.12</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,15,0.860000,0,"bagSizePercent=78;breakTiesRandomly=true;maxDepth=9;numFeatures=0.02 * predictiveAttributes;numIterations=1000;","-P 78 -B -depth 9 -K <numFeaturesMultiplier>0.2</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,16,0.826667,0,"bagSizePercent=32;breakTiesRandomly=false;maxDepth=10;numFeatures=0.74 * predictiveAttributes;numIterations=1000;","-P 32 -depth 10 -K <numFeaturesMultiplier>0.74</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,17,0.866667,0,"bagSizePercent=67;breakTiesRandomly=false;maxDepth=10;numFeatures=0.2 * predictiveAttributes;numIterations=1000;","-P 67 -depth 10 -K <numFeaturesMultiplier>0.20</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,18,0.826667,0,"bagSizePercent=21;breakTiesRandomly=false;maxDepth=10;numFeatures=0.32 * predictiveAttributes;numIterations=1000;","-P 21 -depth 10 -K <numFeaturesMultiplier>0.32</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,19,0.766667,0,"bagSizePercent=36;breakTiesRandomly=false;maxDepth=3;numFeatures=0.7 * predictiveAttributes;numIterations=1000;","-P 36 -depth 3 -K <numFeaturesMultiplier>0.70</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,20,0.846667,0,"bagSizePercent=85;breakTiesRandomly=false;maxDepth=6;numFeatures=0.07 * predictiveAttributes;numIterations=1000;","-P 85 -depth 6 -K <numFeaturesMultiplier>0.7</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,21,0.866667,0,"bagSizePercent=81;breakTiesRandomly=false;maxDepth=0;numFeatures=0.69 * predictiveAttributes;numIterations=1000;","-P 81 -K <numFeaturesMultiplier>0.69</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,22,0.833333,0,"bagSizePercent=39;breakTiesRandomly=true;maxDepth=5;numFeatures=0.15 * predictiveAttributes;numIterations=1000;","-P 39 -B -depth 5 -K <numFeaturesMultiplier>0.15</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,4,23,0.840000,0,"bagSizePercent=34;breakTiesRandomly=false;maxDepth=0;numFeatures=0.32 * predictiveAttributes;numIterations=1000;","-P 34 -K <numFeaturesMultiplier>0.32</numFeaturesMultiplier> -I 1000 "
