dataset_name,n_sample,n_fold,unweighted_area_under_roc,classifier size,elapsed time (seconds),characteristics,options
tae,1,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,2,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,3,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,4,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,5,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,6,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,7,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,8,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,9,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
tae,10,1,0.491162,10,0,"PART_useMDLcorrection=true;PART_doNotMakeSplitPointActualValue=true;PART_minNumObj=9;PART_pruning=unpruned;PART_binarySplits=false;PART_confidenceFactorValue=null;PART_numFolds=null;","-PART -doNotMakeSplitPointActualValue -M 9 -U"
