,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-Individual-sample-01,0.0,,"np.array([2925.0,2377.0], dtype=np.float64)",,"np.array([[2740.0,184.0],[383.0,1993.0]], dtype=np.float64)",,4733.0,,0.1069811320754717,,567.0,,0.7820147636016086,,3426.593568190135,,0.6465270883377613,,65.15607641369546,,0.18945877705200034,,0.49465662654889525,,5300.0,,89.30188679245283,,10.69811320754717,,0.0,,38.30106924348924,,0.4973201237342827,,0.28165971951255486,,56.63549614635043,,3151.419950295312,,0.5946075377915683,,0.9922744338268116,,0.3976668960352433,,5259.0544992821015,,93.0,,0.0,,0.0,,0.9564203591593016,,0.9576051497648624,,0.8924412465593892,,0.1069811320754717,,0.11714165069984186,,0.7843135086148607,,0.8944501099800605,,0.8930188679245283,,0.8828583493001582,,0.8930188679245283,,0.890850610840313,,0.8930188679245283,,0.9576051497648624
someClassifier-Individual,0.0,0.0,,,,,4733.0,0.0,0.1069811320754717,0.0,567.0,0.0,0.7820147636016086,0.0,3426.593568190135,0.0,0.6465270883377613,0.0,65.15607641369546,0.0,0.18945877705200034,0.0,0.49465662654889525,0.0,5300.0,0.0,89.30188679245283,0.0,10.69811320754717,0.0,0.0,0.0,38.30106924348924,0.0,0.4973201237342827,0.0,0.28165971951255486,0.0,56.63549614635043,0.0,3151.419950295312,0.0,0.5946075377915683,0.0,0.9922744338268116,0.0,0.3976668960352433,0.0,5259.0544992821015,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.9564203591593016,0.0,0.9576051497648624,0.0,0.8924412465593892,0.0,0.1069811320754717,0.0,0.11714165069984186,0.0,0.7843135086148607,0.0,0.8944501099800605,0.0,0.8930188679245283,0.0,0.8828583493001582,0.0,0.8930188679245283,0.0,0.890850610840313,0.0,0.8930188679245283,0.0,0.9576051497648624,0.0
