,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-Individual-sample-01,0.0,,"np.array([1670.0,1528.0], dtype=np.float64)",,"np.array([[1661.0,8.0],[12.0,1515.0]], dtype=np.float64)",,3176.0,,0.006257822277847309,,20.0,,0.987458202182728,,3012.850003762782,,0.9426939936679543,,94.4038739833788,,0.0347849743872115,,0.4990135809223666,,3196.0,,99.37421777221527,,0.6257822277847309,,0.0,,6.970747033160031,,0.499506238211736,,0.08314678281855176,,16.645794678405323,,2992.119404678346,,0.9362075734287691,,0.9985755392134961,,0.06236796578472696,,3191.4474233263336,,57.36858573216521,,0.0,,0.0,,0.9989521809921655,,0.9989317509514185,,0.9937418191886143,,0.006257822277847309,,0.006394013285958648,,0.9874613086755708,,0.9937445806671207,,0.9937421777221527,,0.9936059867140414,,0.9937421777221527,,0.993729091248001,,0.9937421777221527,,0.9989317509514185
someClassifier-Individual,0.0,0.0,,,,,3176.0,0.0,0.006257822277847309,0.0,20.0,0.0,0.987458202182728,0.0,3012.850003762782,0.0,0.9426939936679543,0.0,94.4038739833788,0.0,0.0347849743872115,0.0,0.4990135809223666,0.0,3196.0,0.0,99.37421777221527,0.0,0.6257822277847309,0.0,0.0,0.0,6.970747033160031,0.0,0.499506238211736,0.0,0.08314678281855176,0.0,16.645794678405323,0.0,2992.119404678346,0.0,0.9362075734287691,0.0,0.9985755392134961,0.0,0.06236796578472696,0.0,3191.4474233263336,0.0,57.36858573216521,0.0,0.0,0.0,0.0,0.0,0.9989521809921655,0.0,0.9989317509514185,0.0,0.9937418191886143,0.0,0.006257822277847309,0.0,0.006394013285958648,0.0,0.9874613086755708,0.0,0.9937445806671207,0.0,0.9937421777221527,0.0,0.9936059867140414,0.0,0.9937421777221527,0.0,0.993729091248001,0.0,0.9937421777221527,0.0,0.9989317509514185,0.0
