,avgCost,avgCost,getClassPriors,getClassPriors,confusionMatrix,confusionMatrix,correct,correct,errorRate,errorRate,incorrect,incorrect,kappa,kappa,KBInformation,KBInformation,KBMeanInformation,KBMeanInformation,KBRelativeInformation,KBRelativeInformation,meanAbsoluteError,meanAbsoluteError,meanPriorAbsoluteError,meanPriorAbsoluteError,numInstances,numInstances,pctCorrect,pctCorrect,pctIncorrect,pctIncorrect,pctUnclassified,pctUnclassified,relativeAbsoluteError,relativeAbsoluteError,rootMeanPriorSquaredError,rootMeanPriorSquaredError,rootMeanSquaredError,rootMeanSquaredError,rootRelativeSquaredError,rootRelativeSquaredError,SFEntropyGain,SFEntropyGain,SFMeanEntropyGain,SFMeanEntropyGain,SFMeanPriorEntropy,SFMeanPriorEntropy,SFMeanSchemeEntropy,SFMeanSchemeEntropy,SFPriorEntropy,SFPriorEntropy,sizeOfPredictedRegions,sizeOfPredictedRegions,totalCost,totalCost,unclassified,unclassified,weightedAreaUnderPRC,weightedAreaUnderPRC,weightedAreaUnderROC,weightedAreaUnderROC,weightedFMeasure,weightedFMeasure,weightedFalseNegativeRate,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFalsePositiveRate,weightedMatthewsCorrelation,weightedMatthewsCorrelation,weightedPrecision,weightedPrecision,weightedRecall,weightedRecall,weightedTrueNegativeRate,weightedTrueNegativeRate,weightedTruePositiveRate,weightedTruePositiveRate,unweightedMacroFmeasure,unweightedMacroFmeasure,unweightedMicroFmeasure,unweightedMicroFmeasure,unweightedAreaUnderRoc,unweightedAreaUnderRoc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
someClassifier-Individual-sample-01,0.0,,"np.array([3704.0,3698.0], dtype=np.float64)",,"np.array([[3460.0,243.0],[220.0,3477.0]], dtype=np.float64)",,6937.0,,0.06256756756756757,,463.0,,0.8748654132998688,,5178.165026430164,,0.6997520305986709,,69.9752362438069,,0.1693585598827112,,0.49999967138172996,,7400.0,,93.74324324324324,,6.256756756756757,,0.0,,33.87173423828366,,0.49999983564644546,,0.2423787986175003,,48.47577565783214,,5053.296010362031,,0.6828778392381123,,0.9999995257759516,,0.31712168653783934,,7399.996490742042,,85.29054054054055,,0.0,,0.0,,0.9824464869609028,,0.982784502926262,,0.9374319856821033,,0.06256756756756757,,0.06256260965460883,,0.8748823166292938,,0.9374496512641675,,0.9374324324324325,,0.9374373903453911,,0.9374324324324325,,0.9374321022256673,,0.9374324324324325,,0.982784502926262
someClassifier-Individual,0.0,0.0,,,,,6937.0,0.0,0.06256756756756757,0.0,463.0,0.0,0.8748654132998688,0.0,5178.165026430164,0.0,0.6997520305986709,0.0,69.9752362438069,0.0,0.1693585598827112,0.0,0.49999967138172996,0.0,7400.0,0.0,93.74324324324324,0.0,6.256756756756757,0.0,0.0,0.0,33.87173423828366,0.0,0.49999983564644546,0.0,0.2423787986175003,0.0,48.47577565783214,0.0,5053.296010362031,0.0,0.6828778392381123,0.0,0.9999995257759516,0.0,0.31712168653783934,0.0,7399.996490742042,0.0,85.29054054054055,0.0,0.0,0.0,0.0,0.0,0.9824464869609028,0.0,0.982784502926262,0.0,0.9374319856821033,0.0,0.06256756756756757,0.0,0.06256260965460883,0.0,0.8748823166292938,0.0,0.9374496512641675,0.0,0.9374324324324325,0.0,0.9374373903453911,0.0,0.9374324324324325,0.0,0.9374321022256673,0.0,0.9374324324324325,0.0,0.982784502926262,0.0
